Track,Course Code,Course Title,Course Description,Outcome Type,Period,Outcome Number,Outcome Text
IT Network Technology,S-ITCS227,Application Development and Emerging Technologies,This course focuses on the development of applications...,TLO,Final,TLO7,Application of the course material to local situations.
IT Network Technology,S-ITCS226,Information Management,"This course prepares the students to acquire the skills of creating, analyzing, and designing databases. This will help increase their understanding of the essentials of database modeling and design, the languages and facilities provided by the database management systems, and system implementation techniques.",CLO,Course Level,CLO1,"Understand data models, schemas, instances, and their applications in the real world."
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,CLO,Course Level,CLO2,Design effective database schemas using Entity Relationship Diagram (ERD).
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,CLO,Course Level,CLO3,Convert conceptual model into a relational schema.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,CLO,Course Level,CLO4,Perform effective data management procedures.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,CLO,Course Level,CLO5,Demonstrate 21st century skills in all learning activities.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Midterm,TLO1,Effectively explains the basic concepts of databases and data models.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Midterm,TLO2,"Explains the features of database management systems, the architecture of database systems, and the role of database users."
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Midterm,TLO3,Defines the basics of the relational data model.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Midterm,TLO4,State reasons why many system developers believe that data modeling is the most important part of the systems development process.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Midterm,TLO5,"Write good names and definitions for entities, relationships, and attributes."
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Midterm,TLO6,Draw an E-R diagram to represent common business situations.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Midterm,TLO7,Recognize when to use supertype/subtype relationships in data modeling.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Midterm,TLO8,Develop a supertype/subtype hierarchy for a realistic business situation.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Midterm,TLO9,Develop an entity cluster to simplify the presentation of an E-R diagram.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Final,TLO10,List properties of relations.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Final,TLO11,Transform an E-R (or EER) diagram into a logically equivalent set of relations.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Final,TLO12,Create relational tables that incorporate entity integrity and referential integrity constraints.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Final,TLO13,Demonstrate how relations can be normalized up to 3rd normal form.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Final,TLO14,Explains Functional Dependency and Functional Decomposition.
IT Network Technology,S-ITCS226,Information Management,This course prepares the students to acquire the skills...,TLO,Final,TLO15,Applies various Normalization techniques for database design improvement.
IT Network Technology,S-ITCS 123,Intermediate Programming,"Includes review of control structures and data types with emphasis on structured data types. Application of object-oriented programming paradigm, focusing on the definition and use of classes along with the fundamentals of object-oriented design is also part of the discussion as well as basic analysis of algorithms, searching and sorting techniques.",CLO,Course Level,CLO1,Understand programming concepts.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,CLO,Course Level,CLO2,Describe structured data types.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,CLO,Course Level,CLO3,Examine program functionality.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,CLO,Course Level,CLO4,Evaluate searching and sorting algorithms.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,CLO,Course Level,CLO5,"Develop a cleaner, more efficient, and more manageable java programs."
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,CLO,Course Level,CLO6,Demonstrate 21st century skills in all learning activities.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Midterm,TLO1,"Understand the syntax and semantics of key programming constructs, including data types, control structures, and function declarations in Java."
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Midterm,TLO2,"Identify and use Java-specific identifiers, keywords, and operators, and understand their role in creating functional Java programs."
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Midterm,TLO3,"Explain and demonstrate the use of input/output statements in Java to interact with the user, including the use of Scanner and System.out.println."
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Midterm,TLO4,Discuss how data is stored and its use.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Midterm,TLO5,Explain operations that can be performed on a given structure.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Midterm,TLO6,Evaluate program execution by tracing program output.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Midterm,TLO7,Test correctness of programs against several test data.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Midterm,TLO8,Validate the input of the program.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Final,TLO9,Explain how searching and sorting algorithms works.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Final,TLO10,Compare and contrast the different searching and sorting algorithms.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Final,TLO11,Construct a program to implement specific searching and sorting algorithm.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Final,TLO12,Choose an appropriate data and programming structure.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Final,TLO13,Design user-defined methods.
IT Network Technology,S-ITCS 123,Intermediate Programming,Includes review of control structures...,TLO,Final,TLO14,"Collaboration, Skilled Communication, Knowledge Construction, Self- Regulation, Real-world Problem-Solving, Use of ICT."
IT Network Technology,S-ITCS111LA,Introduction to Computing,"This course provides an overview of the Computing Industry and Computing profession, including Research and Applications in different fields; an Appreciation of Computing in different fields such as Biology, Sociology, Environment, and Gaming; an understanding of ACM requirements; an appreciation of the history of computing; and knowledge of the icy components of computer systems (organizations and architecture), Malware, Computer Security, Internet and Internet protocols, HTML4/5 and CSS.",CLO,Course Level,CLO1,"Select the appropriate computer components to build, repair, or upgrade personal computers."
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO2,"Explain basic host, data, and network security."
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO3,Explain the roles and responsibilities of the IT professional.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO4,Study the fundamental ethical principles that form the basis for the ACM Code of Ethics and Professional Conduct.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO5,Understand and apply the concepts involving framework for website development.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO6,"Utilize design standards in planning the layout, design, and development of a complete website."
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO7,Demonstrate 21st century skills in all learning activities.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO1,Explain how to keep personal computer components safe.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO2,Explain the features and functions of computer components.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO3,Describe different types of malware.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO4,Explain physical security measures.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO5,Explain the six steps of the troubleshooting process for security.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO6,Understand the necessary skills to become a successful IT professional.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO7,Understand the ACM Code of Ethics and Professional Conduct to guide the ethical conduct of all computing professionals.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO8,Study the basic concepts of HTML.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO9,Use HTML elements and attributes in designing Web pages.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO10,Apply the various standards in the planning and design of websites using CSS.
IT Network Technology,S-ITCS111,Introduction to Computing,"This course provides an overview of the Computing Industry and Computing profession, including Research and Applications in different fields; an Appreciation of Computing in different fields such as Biology, Sociology, Environment, and Gaming; an understanding of ACM requirements; an appreciation of the history of computing; and knowledge of the icy components of computer systems (organizations and architecture), Malware, Computer Security, Internet and Internet protocols, HTML4/5 and CSS.",CLO,Course Level,CLO1,"Evaluate the appropriate computer components to build, repair, or upgrade personal computers."
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO2,"Analyze basic host, data, and network security."
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO3,Explain the roles and responsibilities of the IT professional.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO4,Apply the fundamental ethical principles that form the basis for the ACM Code of Ethics and Professional Conduct.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO5,Understand and apply the concepts involving framework for website development.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO6,"Remember design standards in planning the layout, design, and development of a complete website."
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO7,Demonstrate 21st century skills in all learning activities.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO1,Explain how to keep personal computer components safe.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO2,Explain the features and functions of computer components.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO3,Describe different types of malware.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO4,Explain physical security measures.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO5,Explain the six steps of the troubleshooting process for security.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO6,Understand the necessary skills to become a successful IT professional.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO7,Understand the ACM Code of Ethics and Professional Conduct to guide the ethical conduct of all computing professionals.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO8,Study the basic concepts of HTML.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO9,Use HTML elements and attributes in designing Web pages.
IT Network Technology,S-ITCS111,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO10,Apply the various standards in the planning and design of websites using CSS.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,"Introduces programming with emphasis on algorithmic and fundamentals programming concepts. This also includes software development methodology, data types, control structures, arrays, and the mechanics of running, testing, and debugging.",CLO,Course Level,CLO1,"Understand software methodology, algorithms, and flowchart."
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,CLO,Course Level,CLO2,Create algorithms and flowcharts for solving a given problem.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,CLO,Course Level,CLO3,Understand common computer programming concepts.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,CLO,Course Level,CLO4,Analyze and evaluate pre-written programs.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,CLO,Course Level,CLO5,Develop programs to solve varieties of programming problems.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,CLO,Course Level,CLO6,Demonstrate 21st century skills in all learning activities.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Midterm,TLO1,"Discuss software methodology, algorithms, and flowchart."
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Midterm,TLO2,Discuss flowcharting symbols and their uses.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Midterm,TLO3,Draw flowcharts for solving problems.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Midterm,TLO4,Translate algorithms to flowcharts.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Midterm,TLO5,Write algorithms for solving given problems as part of software development process.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Midterm,TLO6,Learn syntax and semantics of Python programming language.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Midterm,TLO7,"Understand identifiers, keywords, and operators in Python."
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Midterm,TLO8,Explain I/O Statements.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Final,TLO10,Debug and modify programs.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Final,TLO11,Trace the output of the program.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Final,TLO12,Write Python programs using the different Selection Structures.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Final,TLO13,Write programs using Python Iteration Structure.
IT Network Technology,S-ITCS112LA,Fundamentals of Programming,Introduces programming with emphasis on algorithmic...,TLO,Final,TLO14,Perform basic manipulation with arrays in Python.
IT Network Technology,S-ITCS111LA,Introduction to Computing,"This course provides an overview of the Computing Industry and Computing profession, including Research and Applications in different fields; an Appreciation of Computing in different fields such as Biology, Sociology, Environment, and Gaming; an understanding of ACM requirements; an appreciation of the history of computing; and knowledge of the icy components of computer systems (organizations and architecture), Malware, Computer Security, Internet and Internet protocols, HTML4/5 and CSS.",CLO,Course Level,CLO1,"Select the appropriate computer components to build, repair, or upgrade personal computers."
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO2,"Explain basic host, data, and network security."
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO3,Explain the roles and responsibilities of the IT professional.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO4,Study the fundamental ethical principles that form the basis for the ACM Code of Ethics and Professional Conduct.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO5,Understand and apply the concepts involving framework for website development.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO6,"Utilize design standards in planning the layout, design, and development of a complete website."
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,CLO,Course Level,CLO7,Demonstrate 21st century skills in all learning activities.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO1,Explain how to keep personal computer components safe.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO2,Explain the features and functions of computer components.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO3,Describe different types of malware.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO4,Explain physical security measures.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO5,Explain the six steps of the troubleshooting process for security.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Midterm,TLO6,Understand the necessary skills to become a successful IT professional.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO7,Understand the ACM Code of Ethics and Professional Conduct to guide the ethical conduct of all computing professionals.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO8,Study the basic concepts of HTML.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO9,Use HTML elements and attributes in designing Web pages.
IT Network Technology,S-ITCS111LA,Introduction to Computing,This course provides an overview of the Computing Industry...,TLO,Final,TLO10,Apply the various standards in the planning and design of websites using CSS.
